id,description
1,active classic boxer there reason boxer cult favorite keep cool especially sticky situation quickdrying lightweight underwear take minimal space travel pack exposed brushed waistband offer nexttoskin softness fivepanel construction traditional boxer back classic fit functional fly made 37oz 100 recycled polyester moisturewicking performance inseam size 4 12 recyclable common thread recycling programdetails silky capilene 1 fabric ultralight breathable quicktodry exposed brushed elastic waistband comfort 5panel construction traditional boxer back inseam size 4 12fabric 37oz 100 allrecycled polyester gladiodor natural odor control garment recyclable common thread recycling programweight 99 g 35 ozmade mexico
2,active sport boxer brief skinning glory requires enough movement without boxer deciding poach route formfitting active sport boxer brief made breathable 93 polyester 71 recycled fabric thats fastwicking dry quickly 7 spandex stretch seamless waistband soft leg edge wont roll bind gusseted flatsewn 6 inseam size offset prevent innerthigh chafe flyfree smooth front panel recyclable common thread recycling programdetails stretch mesh provides support openweave mesh airflow wick efficiently dry fast seamless construction flatsewn gusseted inseam set forward prevent innerthigh chafe flyfree support inseam size 6fabric 46oz 93 polyester 71 recycled7 spandex moisturewicking performance recyclable common thread recycling programweight 60 g 21 ozmade israel
3,active sport brief superbreathable nofly brief minimalist choice highoctane endeavor made blend fastwicking quickdrying 93 polyester 71 recycled 7 spandex stretchmesh support open mesh cooling airflow soft edging leg opening seamless waist wont roll create friction layer smooth front panel opacity recyclable common thread recycling programdetails stretch mesh provides support openweave mesh airflow wick efficiently dry fast seamless construction leg opening halfinch selfbinding comfort flyfree supportfabric 46oz 93 polyester 71 recycled7 spandex moisturewicking performance recyclable common thread recycling programweight 49 g 17 ozmade israel
4,alpine guide pant skin climb ice switch rock traverse knifeedge ridge boogie back durable weatherresistant breathable softshell pant keep stride every mountain endeavor midweight stretchwoven polyester wont restrict move brushed interior maintains nexttoskin comfort 2way zippered fly keep thing easy harness gusseted zippered cuff 2position snap tiedown loop waterresistant zippered pocket two front two thigh one back hip recyclable common thread recycling programdetails durable stretchwoven polyester 47 recycled dwr durable water repellent finish water windresistant highly breathable brushed interior nexttoskin comfort waistband belt loop elastic back 2way zippered fly external pocket two front slash two gluedon thigh one back hip highly waterresistant dwrfinished zipper gusseted zippered cuff 2position adjustable setting tiedown loopsfabric 76oz 90denier 92 polyester 47 recycled8 spandex deluge dwr finish recyclable common thread recycling programweight 597 g 207 ozmade vietnam
5,alpine wind jkt high ridge steep ice anything alpine jacket serf true best world staple excels standalone shell blustery rock climb coolweather trail run highoutput ski tour condition ice alpine climbing function lightly insulated windshirt approach well frictionless midlayer time bundle tiein polyester ripstop shell deluge dwr durable water repellent treatment shed snow block wind smooth lightly brushed hanging mesh liner wick moisture dry fast doesnt bind baselayers superlight stretchwoven underarm panel enhance breathability allow unimpaired arm motion two hand pocket close zipper drawcord hem elastic cuff heattransfer reflective logo regularcoil centerfront zipper dwr finish round feature updated season improved fit recyclable common thread recycling programdetails lightweight breathable polyester ripstop fabric deluge dwr durable water repellent finish slightly brushed polyestermesh liner wick moisture dry fast stretchwoven underarm panel provide breathability stretch unimpeded range motion dwr finish centerfront zipper elastic cuff pocket exterior chest zippered handwarmers drawcord hem reflective heattransfer logofabric shell 13oz 20denier 100 polyester ripstop panel 46oz 75denier 90 allrecycled polyester10 spandex shell panel deluge dwr durable water repellent finish lining 100 polyester brushed tricot mesh recyclable common thread recycling programweight 331 g 115 ozmade china
6,ascensionist jkt technical soft shell fullon mountain pursuit strike alpinist balance protection minimalism dense 2waystretch polyester double weave stitchless seam exceptional water windresistance rapid dry time superb breathability pareddown detailing provides everything need nothing 3wayadjustable helmetcompatible hood reversecoil centerfront zipper dwr durable water repellent finish large external handwarmer pocket zipper garage placed harnessline internal security pocket articulated arm selffabic cuff tab drawcord hem recyclable common thread recycling programdetails dense stretchy polyester doubleweave fabric exceptionally water windresistant spandexfree fast dry time stitchfree lapglued seam speed dry time improve water resistance decrease bulk helmetcompatible 3wayadjustable hood brushed chamois patch chin neck comfort dwrdurable water repellent finished centerfront zipper external pocket two handwarmers fit skin zipper garage dwr finish zipper internal security pocket articulated arm lowprofile laminated selffabric cuff tab drawcord hemfabric 53oz 100 polyester 45 recycled double weave 2waystretch deluge dwr finish recyclable common thread recycling programweight 553 g 192 ozmade china
7,atom multitaskers cloud nine atom play part courier bag daypack carryon teardrop shape provides support daypack positioning load behind shoulder singlestrap design make getting good simple spin around front large zippered main pocket internal zippered mesh stretchwoven pocket convenient zippered pocket shoulder strap lined protect valuable breathable moisturemoving 3d spacer mesh pad shoulder strap back panel made 150denier doubleweave allrecycled polyester polyurethane coating dwr durable water repellent finishdetails atom spin around back chest easy access main zippered pocket internal zippered mesh stretchwoven organizer pocket small zippered pocket essential zippered pocket shoulder strap lined protect cell phone sunglass etc teardrop shape position weight behind shoulder easing stress neck back 3d spacermesh shoulder strap back panel wick moisture dry quickly allows air circulation waistbelt secures pack torsofabric 74oz 150denier 100 allrecycled polyester double weave lining 33oz 200denier 100 polyester polyurethane coating dwr durable water repellent finish shoulder strap 100 polyester 3d spacer meshweight 311 g 108 ozmade vietnam
8,print banded betina btm fullest coverage bottom betina fit highest across hip slightly scooped lined front made blend 82 nylon18 spandexdetails fullest coverage bottom fit highest across hip full front back coverage regular rise improved fabricfabric 56oz 82 nylon18 spandexweight 49 g 17 ozmade usa
9,baby micro dluxe cardigan micro dluxe heavenly soft fabric downtoearth application cardigan made quickdrying durable 46oz 100 polyester 87 recycled microdenier fleece lightweight breathable work top midlayer wind flap back zip front hood coveredelastic side trim bundle baby deep warmth slashstyle patch pocket colorcoordinating elbow patch soft selffabric cuff recyclable common thread recycling programdetails soft microdenier fleece made 87 recycled polyester durable quicktodry hood stay secure covered side elastic inside neck tape clean finish handwarmer patch pocket full front zip backed wind flap soft selffabric cuffsfabric 46oz 100 microdenier polyester 87 recycled fleece recyclable common thread recycling programweight 121 g 42 ozmade costa rica
10,baby sun bucket hat hat go sun rise horizon stay raindrop start falling made ultradurable 4ply 42oz supplex nylon fabric dwr durable water repellent finish revers either contrasting solid color print soft tuckaway chin strap hookandloop fastener hold securely without chafing young jawlines pack small easy caredetails lightweight supplex nylon soft dry fast pack small easy care brim shield head neck chin strap hookandloop fastener tucked away use reversible style fun printsolid combination one colorway print sidesfabric 4ply 42oz supplex nylon dwr durable water repellent finishweight 49 g 17 ozmade china
